question_id;forecast_source;forecast_version;option;probability
bfg_q1;bins;1;under 2,500;0
bfg_q1;bins;1;2,500 to 4,999;0
bfg_q1;bins;1;5,000 to 9,999;0
bfg_q1;bins;1;10,000 to 19,999;0
bfg_q1;bins;1;20,000 or more;0
bfg_q2;bins;1;under 750;0
bfg_q2;bins;1;750 to 1,499;0
bfg_q2;bins;1;1,500 to 2,999;0
bfg_q2;bins;1;3,000 to 4,999;0
bfg_q2;bins;1;5,000 or more;0
bfg_q3;bins;1;YES;0
bfg_q3;bins;1;NO;0
bfg_q4;bins;1;exactly 1;0
bfg_q4;bins;1;2;0
bfg_q4;bins;1;3;0
bfg_q4;bins;1;4 or more;0
bfg_q5;bins;1;trials ongoing, no efficacy results reported;0
bfg_q5;bins;1;interim efficacy results reported from any BVD vaccine or therapeutic trial;0
bfg_q5;bins;1;emergency use authorization or WHO emergency use listing granted for any BVD vaccine or therapeutic;0
bfg_q5;bins;1;vaccine or therapeutic deployed at scale in affected countries beyond the trials;0
bfg_q6;bins;1;0 to 4;0
bfg_q6;bins;1;5 to 14;0
bfg_q6;bins;1;15 to 29;0
bfg_q6;bins;1;30 to 59;0
bfg_q6;bins;1;60 or more;0
bfg_q7;bins;1;YES;0
bfg_q7;bins;1;NO;0
bfg_q8;bins;1;H5N1;0
bfg_q8;bins;1;H5N5;0
bfg_q8;bins;1;Another H5Nx;0
bfg_q8;bins;1;No human H5 cases reported in the period;0
bfg_q9;bins;1;exactly 20;0
bfg_q9;bins;1;21 to 23;0
bfg_q9;bins;1;24 to 26;0
bfg_q9;bins;1;27 or more;0
bfg_q10;bins;1;0;0
bfg_q10;bins;1;1;0
bfg_q10;bins;1;2 or more;0
bfg_q11;bins;1;under 200,000;0
bfg_q11;bins;1;200,000 to 299,999;0
bfg_q11;bins;1;300,000 to 449,999;0
bfg_q11;bins;1;450,000 to 649,999;0
bfg_q11;bins;1;650,000 or more;0
bfg_q12;bins;1;YES;0
bfg_q12;bins;1;NO;0
bfg_q13;bins;1;under 3,000;0
bfg_q13;bins;1;3,000 to 6,999;0
bfg_q13;bins;1;7,000 to 11,999;0
bfg_q13;bins;1;12,000 to 19,999;0
bfg_q13;bins;1;20,000 or more;0
bfg_q14;bins;1;under 3,000;0
bfg_q14;bins;1;3,000 to 3,999;0
bfg_q14;bins;1;4,000 to 5,499;0
bfg_q14;bins;1;5,500 to 7,999;0
bfg_q14;bins;1;8,000 or more;0
bfg_q15;bins;1;YES;0
bfg_q15;bins;1;NO;0
bfg_q16;bins;1;0;0
bfg_q16;bins;1;1;0
bfg_q16;bins;1;2 to 3;0
bfg_q16;bins;1;4 to 6;0
bfg_q16;bins;1;7 or more;0
bfg_q17;bins;1;under 175,000;0
bfg_q17;bins;1;175,000 to 274,999;0
bfg_q17;bins;1;275,000 to 399,999;0
bfg_q17;bins;1;400,000 to 599,999;0
bfg_q17;bins;1;600,000 or more;0
bfg_q18;bins;1;under 1.5M;0
bfg_q18;bins;1;1.5M to 1.99M;0
bfg_q18;bins;1;2.0M to 2.99M;0
bfg_q18;bins;1;3.0M to 4.49M;0
bfg_q18;bins;1;4.5M or more;0
bfg_q19;bins;1;0;0
bfg_q19;bins;1;1;0
bfg_q19;bins;1;2 to 3;0
bfg_q19;bins;1;4 to 5;0
bfg_q19;bins;1;6 or more;0
bfg_q20;bins;1;8 or fewer;0
bfg_q20;bins;1;9 to 11;0
bfg_q20;bins;1;12 to 14;0
bfg_q20;bins;1;15 to 17;0
bfg_q20;bins;1;18 or more;0
bfg_q21;bins;1;YES;0
bfg_q21;bins;1;NO;0
bfg_q22;bins;1;15 or fewer;0
bfg_q22;bins;1;16 to 30;0
bfg_q22;bins;1;31 to 50;0
bfg_q22;bins;1;51 to 79;0
bfg_q22;bins;1;80 or more;0
bfg_q23;bins;1;YES;0
bfg_q23;bins;1;NO;0
bfg_q24;bins;1;under 250,000;0
bfg_q24;bins;1;250,000 to 374,999;0
bfg_q24;bins;1;375,000 to 524,999;0
bfg_q24;bins;1;525,000 to 749,999;0
bfg_q24;bins;1;750,000 or more;0
bfg_q25;bins;1;under 2,000;0
bfg_q25;bins;1;2,000 to 2,999;0
bfg_q25;bins;1;3,000 to 3,999;0
bfg_q25;bins;1;4,000 to 5,499;0
bfg_q25;bins;1;5,500 or more;0
