question_id;forecast_source;forecast_version;option;probability;forecast_date
q1;human;1;100-150;0,977;2025-06-03
q1;human;1;150-200;0,017;2025-06-03
q1;human;1;200+;0,002;2025-06-03
q1;human;1;70-100;0,003;2025-06-03
q3;human;1;1000-1100;0,902;2025-06-03
q3;human;1;1100-1200;0,044000000000000004;2025-06-03
q3;human;1;1200+;0,025;2025-06-03
q3;human;1;970-1000;0,004;2025-06-03
q7;human;1;124,831-126,000;0,35;2025-06-03
q7;human;1;126,001-128,500;0,373;2025-06-03
q7;human;1;128,501-131,000;0,006;2025-06-03
q7;human;1;131,001+;0,001;2025-06-03
q9;human;1;0-1;0,002;2025-06-03
q9;human;1;2-5;0,006;2025-06-03
q9;human;1;6-10;0,017;2025-06-03
q9;human;1;11+;0,968;2025-06-03
q1;human;2;100-150;0,977;2026-06-30
q1;human;2;150-200;0,017;2026-06-30
q1;human;2;200+;0,002;2026-06-30
q1;human;2;70-100;0,003;2026-06-30
q2;human;2;70-100;0,066;2026-06-30
q2;human;2;100-200;0,42200000000000004;2026-06-30
q2;human;2;200-300;0,337;2026-06-30
q2;human;2;300+;0,067;2026-06-30
q3;human;2;1000-1100;0,902;2026-06-30
q3;human;2;1100-1200;0,044000000000000004;2026-06-30
q3;human;2;1200+;0,025;2026-06-30
q3;human;2;970-1000;0,004;2026-06-30
q4;human;2;10-15;0,665;2026-06-30
q4;human;2;15-20;0,125;2026-06-30
q4;human;2;20-25;0,005;2026-06-30
q4;human;2;25+;0,003;2026-06-30
q5;human;2;YES;0,077;2026-06-30
q5;human;2;NO;0,9229999999999999;2026-06-30
q6;human;2;YES;0,139;2026-06-30
q6;human;2;NO;0,861;2026-06-30
q7;human;2;124,831-126,000;0,35;2026-06-30
q7;human;2;126,001-128,500;0,373;2026-06-30
q7;human;2;128,501-131,000;0,006;2026-06-30
q7;human;2;131,001+;0,001;2026-06-30
q8;human;2;124,831-126,000;0,019;2026-06-30
q8;human;2;126,001-128,500;0,071;2026-06-30
q8;human;2;128,501-131,000;0,22699999999999998;2026-06-30
q8;human;2;131,001+;0,276;2026-06-30
q9;human;2;0-1;0,002;2026-06-30
q9;human;2;2-5;0,006;2026-06-30
q9;human;2;6-10;0,017;2026-06-30
q9;human;2;11+;0,968;2026-06-30
q10;human;2;9-15;0,098;2026-06-30
q10;human;2;16-20;0,08900000000000001;2026-06-30
q10;human;2;21-25;0,131;2026-06-30
q10;human;2;26-30;0,04;2026-06-30
q10;human;2;30+;0,077;2026-06-30
q11;human;2;Vector-borne;0,299;2026-06-30
q11;human;2;Viral;0,096;2026-06-30
q11;human;2;Water contamination;0,08800000000000001;2026-06-30
q11;human;2;Combination;0,341;2026-06-30
q11;human;2;Uncertain;0,132;2026-06-30
q11;human;2;Other;0,003;2026-06-30
