question_id;forecast_source;forecast_version;option;probability;forecast_date
q1;llm_baseline;1;100-150;0,0;2025-06-03
q1;llm_baseline;1;150-200;0,0;2025-06-03
q1;llm_baseline;1;200+;0,0;2025-06-03
q1;llm_baseline;1;70-100;1,0;2025-06-03
q3;llm_baseline;1;1000-1100;0,0;2025-06-03
q3;llm_baseline;1;1100-1200;1,0;2025-06-03
q3;llm_baseline;1;1200+;0,0;2025-06-03
q3;llm_baseline;1;970-1000;0,0;2025-06-03
q7;llm_baseline;1;124,831-126,000;0,0;2025-06-03
q7;llm_baseline;1;126,001-128,500;0,0;2025-06-03
q7;llm_baseline;1;128,501-131,000;0,0;2025-06-03
q7;llm_baseline;1;131,001+;1,0;2025-06-03
q9;llm_baseline;1;0-1;1,0;2025-06-03
q9;llm_baseline;1;2-5;0,0;2025-06-03
q9;llm_baseline;1;6-10;0,0;2025-06-03
q9;llm_baseline;1;11+;0,0;2025-06-03
q1;llm_baseline;2;100-150;0,0;2026-06-30
q1;llm_baseline;2;150-200;0,0;2026-06-30
q1;llm_baseline;2;200+;0,0;2026-06-30
q1;llm_baseline;2;70-100;1,0;2026-06-30
q2;llm_baseline;2;70-100;0,0;2026-06-30
q2;llm_baseline;2;100-200;0,0;2026-06-30
q2;llm_baseline;2;200-300;1,0;2026-06-30
q2;llm_baseline;2;300+;0,0;2026-06-30
q3;llm_baseline;2;1000-1100;0,0;2026-06-30
q3;llm_baseline;2;1100-1200;1,0;2026-06-30
q3;llm_baseline;2;1200+;0,0;2026-06-30
q3;llm_baseline;2;970-1000;0,0;2026-06-30
q4;llm_baseline;2;10-15;0,0;2026-06-30
q4;llm_baseline;2;15-20;0,0;2026-06-30
q4;llm_baseline;2;20-25;1,0;2026-06-30
q4;llm_baseline;2;25+;0,0;2026-06-30
q5;llm_baseline;2;YES;0,0;2026-06-30
q5;llm_baseline;2;NO;1,0;2026-06-30
q6;llm_baseline;2;YES;0,0;2026-06-30
q6;llm_baseline;2;NO;1,0;2026-06-30
q7;llm_baseline;2;124,831-126,000;0,0;2026-06-30
q7;llm_baseline;2;126,001-128,500;0,0;2026-06-30
q7;llm_baseline;2;128,501-131,000;0,0;2026-06-30
q7;llm_baseline;2;131,001+;1,0;2026-06-30
q8;llm_baseline;2;124,831-126,000;0,0;2026-06-30
q8;llm_baseline;2;126,001-128,500;0,0;2026-06-30
q8;llm_baseline;2;128,501-131,000;0,0;2026-06-30
q8;llm_baseline;2;131,001+;1,0;2026-06-30
q9;llm_baseline;2;0-1;1,0;2026-06-30
q9;llm_baseline;2;2-5;0,0;2026-06-30
q9;llm_baseline;2;6-10;0,0;2026-06-30
q9;llm_baseline;2;11+;0,0;2026-06-30
q10;llm_baseline;2;9-15;1,0;2026-06-30
q10;llm_baseline;2;16-20;0,0;2026-06-30
q10;llm_baseline;2;21-25;0,0;2026-06-30
q10;llm_baseline;2;26-30;0,0;2026-06-30
q10;llm_baseline;2;30+;0,0;2026-06-30
q11;llm_baseline;2;Vector-borne;0,1;2026-06-30
q11;llm_baseline;2;Viral;0,1;2026-06-30
q11;llm_baseline;2;Water contamination;0,05;2026-06-30
q11;llm_baseline;2;Combination;0,1;2026-06-30
q11;llm_baseline;2;Uncertain;0,6;2026-06-30
q11;llm_baseline;2;Other;0,05;2026-06-30
