question_id;forecast_source;forecast_version;option;probability;forecast_date
q1;perplexity;1;100-150;0,0;2025-06-03
q1;perplexity;1;150-200;0,0;2025-06-03
q1;perplexity;1;200+;0,0;2025-06-03
q1;perplexity;1;70-100;1,0;2025-06-03
q3;perplexity;1;1000-1100;0,25;2025-06-03
q3;perplexity;1;1100-1200;0,1;2025-06-03
q3;perplexity;1;1200+;0,05;2025-06-03
q3;perplexity;1;970-1000;0,6;2025-06-03
q7;perplexity;1;124,831-126,000;0,05;2025-06-03
q7;perplexity;1;126,001-128,500;0,15;2025-06-03
q7;perplexity;1;128,501-131,000;0,35;2025-06-03
q7;perplexity;1;131,001+;0,45;2025-06-03
q9;perplexity;1;0-1;0,01;2025-06-03
q9;perplexity;1;2-5;0,02;2025-06-03
q9;perplexity;1;6-10;0,07;2025-06-03
q9;perplexity;1;11+;0,9;2025-06-03
q1;perplexity;2;100-150;0,0;2026-06-30
q1;perplexity;2;150-200;0,0;2026-06-30
q1;perplexity;2;200+;0,0;2026-06-30
q1;perplexity;2;70-100;1,0;2026-06-30
q3;perplexity;2;1000-1100;0,25;2026-06-30
q3;perplexity;2;1100-1200;0,1;2026-06-30
q3;perplexity;2;1200+;0,05;2026-06-30
q3;perplexity;2;970-1000;0,6;2026-06-30
q7;perplexity;2;124,831-126,000;0,05;2026-06-30
q7;perplexity;2;126,001-128,500;0,15;2026-06-30
q7;perplexity;2;128,501-131,000;0,35;2026-06-30
q7;perplexity;2;131,001+;0,45;2026-06-30
q9;perplexity;2;0-1;0,01;2026-06-30
q9;perplexity;2;2-5;0,02;2026-06-30
q9;perplexity;2;6-10;0,07;2026-06-30
q9;perplexity;2;11+;0,9;2026-06-30
q2;perplexity;2;70-100;0,85;2026-06-30
q2;perplexity;2;100-200;0,12;2026-06-30
q2;perplexity;2;200-300;0,02;2026-06-30
q2;perplexity;2;300+;0,01;2026-06-30
q4;perplexity;2;10-15;0,97;2026-06-30
q4;perplexity;2;15-20;0,02;2026-06-30
q4;perplexity;2;20-25;0,01;2026-06-30
q4;perplexity;2;25+;0,0;2026-06-30
q5;perplexity;2;YES;0,0;2026-06-30
q5;perplexity;2;NO;1,0;2026-06-30
q6;perplexity;2;YES;1,0;2026-06-30
q6;perplexity;2;NO;0,0;2026-06-30
q8;perplexity;2;124,831-126,000;0,0;2026-06-30
q8;perplexity;2;126,001-128,500;0,0;2026-06-30
q8;perplexity;2;128,501-131,000;0,0;2026-06-30
q8;perplexity;2;131,001+;1,0;2026-06-30
q10;perplexity;2;9-15;0,88;2026-06-30
q10;perplexity;2;16-20;0,06;2026-06-30
q10;perplexity;2;21-25;0,03;2026-06-30
q10;perplexity;2;26-30;0,02;2026-06-30
q10;perplexity;2;30+;0,01;2026-06-30
q11;perplexity;2;Vector-borne;0,2;2026-06-30
q11;perplexity;2;Viral;0,05;2026-06-30
q11;perplexity;2;Water contamination;0,35;2026-06-30
q11;perplexity;2;Combination;0,25;2026-06-30
q11;perplexity;2;Uncertain;0,1;2026-06-30
q11;perplexity;2;Other;0,05;2026-06-30
