forecast_date,forecast_source,metric,baseline_timeline_value,mean_improvement
2025-06-03,human,accuracy,2025-06-03,0.0
2025-06-03,llm_baseline,accuracy,2025-06-03,0.0
2025-06-03,perplexity,accuracy,2025-06-03,0.0
2025-06-03,human,accuracy_error,2025-06-03,0.0
2025-06-03,llm_baseline,accuracy_error,2025-06-03,0.0
2025-06-03,perplexity,accuracy_error,2025-06-03,0.0
2025-06-03,human,brier_score,2025-06-03,0.0
2025-06-03,llm_baseline,brier_score,2025-06-03,0.0
2025-06-03,perplexity,brier_score,2025-06-03,0.0
2025-06-03,human,log_score,2025-06-03,0.0
2025-06-03,llm_baseline,log_score,2025-06-03,0.0
2025-06-03,perplexity,log_score,2025-06-03,0.0
2025-06-03,human,normalized_entropy,2025-06-03,0.0
2025-06-03,llm_baseline,normalized_entropy,2025-06-03,0.0
2025-06-03,perplexity,normalized_entropy,2025-06-03,0.0
2025-06-03,human,rps,2025-06-03,0.0
2025-06-03,llm_baseline,rps,2025-06-03,0.0
2025-06-03,perplexity,rps,2025-06-03,0.0
2025-06-03,human,top_probability,2025-06-03,0.0
2025-06-03,llm_baseline,top_probability,2025-06-03,0.0
2025-06-03,perplexity,top_probability,2025-06-03,0.0
2025-06-03,human,true_probability,2025-06-03,0.0
2025-06-03,llm_baseline,true_probability,2025-06-03,0.0
2025-06-03,perplexity,true_probability,2025-06-03,0.0
2026-06-30,human,accuracy,2025-06-03,-0.13636363636363635
2026-06-30,llm_baseline,accuracy,2025-06-03,0.11363636363636365
2026-06-30,perplexity,accuracy,2025-06-03,-0.022727272727272707
2026-06-30,human,accuracy_error,2025-06-03,0.13636363636363635
2026-06-30,llm_baseline,accuracy_error,2025-06-03,-0.11363636363636365
2026-06-30,perplexity,accuracy_error,2025-06-03,0.022727272727272707
2026-06-30,human,brier_score,2025-06-03,-0.13517867396723193
2026-06-30,llm_baseline,brier_score,2025-06-03,-0.30045454545454553
2026-06-30,perplexity,brier_score,2025-06-03,0.04749999999999993
2026-06-30,human,log_score,2025-06-03,-1.0064140710224156
2026-06-30,llm_baseline,log_score,2025-06-03,-6.855423799595908
2026-06-30,perplexity,log_score,2025-06-03,0.1285025001207215
2026-06-30,human,normalized_entropy,2025-06-03,0.2743222367988996
2026-06-30,llm_baseline,normalized_entropy,2025-06-03,0.0657984081510839
2026-06-30,perplexity,normalized_entropy,2025-06-03,-0.1460426794530747
2026-06-30,human,rps,2025-06-03,-0.1422079028664338
2026-06-30,llm_baseline,rps,2025-06-03,-0.14507575757575752
2026-06-30,perplexity,rps,2025-06-03,-0.008803030303030285
2026-06-30,human,top_probability,2025-06-03,-0.156179074548762
2026-06-30,llm_baseline,top_probability,2025-06-03,-0.036363636363636376
2026-06-30,perplexity,top_probability,2025-06-03,0.0806818181818183
2026-06-30,human,true_probability,2025-06-03,-0.02885648179777628
2026-06-30,llm_baseline,true_probability,2025-06-03,0.12272727272727268
2026-06-30,perplexity,true_probability,2025-06-03,0.02840909090909094
