question_id,topic,question_type,forecast_source,forecast_version,forecast_date,resolved_option,brier_score,log_score,accuracy,accuracy_error,rps,top_probability,normalized_entropy,true_probability
q1,H5N1 (US),range,human,1,2025-06-03,70-100,1.9507375243110978,5.808142489980444,0,1,0.9801529924986715,0.977977977977978,0.08726774697101813,0.0030030030030030034
q1,H5N1 (US),range,human,2,2026-06-30,70-100,1.9507375243110978,5.808142489980444,0,1,0.9801529924986715,0.977977977977978,0.08726774697101813,0.0030030030030030034
q1,H5N1 (US),range,llm_baseline,1,2025-06-03,70-100,0.0,9.992007221626415e-16,1,0,0.0,1.0,-0.0,1.0
q1,H5N1 (US),range,llm_baseline,2,2026-06-30,70-100,0.0,9.992007221626415e-16,1,0,0.0,1.0,-0.0,1.0
q1,H5N1 (US),range,perplexity,1,2025-06-03,70-100,0.0,9.992007221626415e-16,1,0,0.0,1.0,-0.0,1.0
q1,H5N1 (US),range,perplexity,2,2026-06-30,70-100,0.0,9.992007221626415e-16,1,0,0.0,1.0,-0.0,1.0
q10,Sudan Virus Disease (Uganda),range,human,2,2026-06-30,9-15,0.7725194873827456,1.4903785524181121,0,1,0.2572215616329766,0.30114942528735633,0.9616851124612125,0.22528735632183908
q10,Sudan Virus Disease (Uganda),range,llm_baseline,2,2026-06-30,9-15,0.0,9.992007221626415e-16,1,0,0.0,1.0,-0.0,1.0
q10,Sudan Virus Disease (Uganda),range,perplexity,2,2026-06-30,9-15,0.0194,0.12783337150988489,1,0,0.004750000000000002,0.88,0.3173697505670377,0.88
q11,Mystery Outbreak (Congo),categorical,human,2,2026-06-30,Vector-borne,0.6374753854869242,1.165447501492752,0,1,0.21714181330265608,0.3555787278415016,0.8213224832866709,0.3117831074035453
q11,Mystery Outbreak (Congo),categorical,llm_baseline,2,2026-06-30,Vector-borne,1.1949999999999998,2.3025850929940455,0,1,0.4875,0.6,0.7237824896619229,0.1
q11,Mystery Outbreak (Congo),categorical,perplexity,2,2026-06-30,Vector-borne,0.84,1.6094379124341003,0,1,0.2775,0.35,0.8738509157541657,0.2
q2,H5N1 (US),range,human,2,2026-06-30,70-100,1.2296874057391058,2.6038113905535836,0,1,0.35608875103058574,0.4730941704035874,0.7999355684965608,0.07399103139013453
q2,H5N1 (US),range,llm_baseline,2,2026-06-30,70-100,2.0,34.538776394910684,0,1,0.6666666666666666,1.0,-0.0,0.0
q2,H5N1 (US),range,perplexity,2,2026-06-30,70-100,0.0374,0.16251892949777494,1,0,0.007833333333333336,0.85,0.3728391969855697,0.85
q3,H5N1 (US),range,human,1,2025-06-03,970-1000,1.850367915844839,5.4961431098779565,0,1,0.9296904667981591,0.9251282051282051,0.23681862783604404,0.0041025641025641026
q3,H5N1 (US),range,human,2,2026-06-30,970-1000,1.850367915844839,5.4961431098779565,0,1,0.9296904667981591,0.9251282051282051,0.23681862783604404,0.0041025641025641026
q3,H5N1 (US),range,llm_baseline,1,2025-06-03,970-1000,2.0,34.538776394910684,0,1,0.6666666666666666,1.0,-0.0,0.0
q3,H5N1 (US),range,llm_baseline,2,2026-06-30,970-1000,2.0,34.538776394910684,0,1,0.6666666666666666,1.0,-0.0,0.0
q3,H5N1 (US),range,perplexity,1,2025-06-03,970-1000,0.23500000000000004,0.5108256237659907,1,0,0.11499999999999999,0.6,0.745234285366414,0.6
