qid,run_id,qtype,topic,organic_returned,dashboard_returned,organic_survivors,dashboard_survivors,injected_dash_domains,expected_resolution_domain,resolution_source_injected,pool_overlap_mean,pool_overlap_max,survivor_overlap_mean,llm_pool_ontopic,llm_survivor_ontopic,n_records,n_usable,insight_from_organic,insight_from_dashboard,top_metric_value,top_metric_name,top_count_basis,expected_basis,top_confidence,top_n_sources,top_origin,top_source_url,top_quote,top_scope_ok,anchor_present,evidence_sufficient,single_fragile_source,classification,cause,cause_detail
bfg_q1,20260705_090841,range,bundibugyo ebola (drc-uganda),21,4,4,4,"afro.who.int,cdc.gov,who.int",who.int,True,0.3048,0.4,0.3375,0.0,0.0,7,7,4,3,1460.0,confirmed_cases,cumulative,cumulative,0.85,1,organic,https://www.bbc.com/news/articles/c75ykve4zzxo,"there have been 1,460 confirmed cases in DR Congo",True,True,True,False,well_supported,,
bfg_q2,20260705_090928,range,bundibugyo ebola (drc-uganda),20,4,3,4,"afro.who.int,cdc.gov,who.int",who.int,True,0.2818,0.3636,0.3131,0.0,0.0,3,3,1,2,438.0,deaths,cumulative,cumulative,0.85,1,organic,https://apnews.com/article/ebola-bundibugyo-remdesivir-mbp134-congo-7dd42ecd5ff75a4f1e255db26677a778,"438 have died, WHO Director-General Tedros Adhanom Ghebreyesus said Thursday.",True,True,True,False,well_supported,,
bfg_q3,20260705_091006,binary,bundibugyo ebola (drc-uganda),20,4,2,4,"afro.who.int,cdc.gov,who.int",who.int,True,0.2812,0.4062,0.4062,0.2667,0.5,6,3,4,2,1460.0,confirmed_cases,cumulative,,0.85,1,organic,https://www.bbc.com/news/articles/c75ykve4zzxo,"there have been 1,460 confirmed cases in DR Congo",True,True,True,True,well_supported,robustness,high-confidence anchor present but rests on a single source; add a corroborating source.
bfg_q4,20260705_091046,binary,bundibugyo ebola (drc-uganda),21,4,4,4,"afro.who.int,cdc.gov,who.int",who.int,True,0.3031,0.4146,0.3232,0.2,0.25,9,9,5,4,20.0,confirmed_cases,cumulative,,0.85,1,organic,https://www.bbc.com/news/articles/c75ykve4zzxo,There have also been 20 confirmed cases in Uganda,True,True,True,False,well_supported,,
bfg_q5,20260705_091143,categorical,bundibugyo ebola (drc-uganda),19,4,1,4,"afro.who.int,cdc.gov,who.int",who.int,True,0.2313,0.3158,0.3158,0.5333,1.0,7,6,4,3,1460.0,confirmed_cases,cumulative,,0.85,1,organic,https://www.bbc.com/news/articles/c75ykve4zzxo,"there have been 1,460 confirmed cases in DR Congo",True,True,True,False,well_supported,,
bfg_q6,20260705_091217,range,avian influenza h5 (world),23,4,0,4,"aphis.usda.gov,cdc.gov,who.int",who.int,True,0.2386,0.4,0.0,0.1333,,0,0,0,0,,,,incident,,0,none,,,False,False,False,False,under_supported,extraction,4 dashboard(s) survived filtering but produced 0 insight records (non-extractable tracker/index/JS page).
bfg_q7,20260705_091239,binary,avian influenza h5 (world),27,4,0,4,"aphis.usda.gov,cdc.gov,who.int",who.int,True,0.2008,0.2889,0.0,0.1333,,1,1,0,1,71.0,confirmed_cases,cumulative,,0.85,1,dashboard,https://www.cdc.gov/bird-flu/situation-summary/,Of the 71 total reported human cases of A(H5) bird flu reported in the United States since February 2024,True,True,True,True,dashboard_only,robustness,high-confidence anchor present but rests on a single source; add a corroborating source.
bfg_q8,20260705_091305,categorical,avian influenza h5 (world),35,4,0,4,"aphis.usda.gov,cdc.gov,who.int",who.int,True,0.2276,0.4828,0.0,0.1333,,0,0,0,0,,,,,,0,none,,,False,False,False,False,under_supported,extraction,4 dashboard(s) survived filtering but produced 0 insight records (non-extractable tracker/index/JS page).
bfg_q9,20260705_091328,range,h5n1 (us),32,4,0,4,"aphis.usda.gov,cdc.gov,who.int",aphis.usda.gov,True,0.1861,0.3182,0.0,0.0,,0,0,0,0,,,,cumulative,,0,none,,,False,False,False,False,under_supported,extraction,4 dashboard(s) survived filtering but produced 0 insight records (non-extractable tracker/index/JS page).
bfg_q10,20260705_091405,categorical,pheic (world),45,15,3,15,"africacdc.org,cdc.gov,ecdc.europa.eu,empres-i.apps.fao.org,fao.org,gov.uk,healthmap.org,nextstrain.org,paho.org,promedmail.org,wahis.woah.org,who.int",who.int,True,0.303,0.3939,0.3434,0.0667,0.3333,5,4,5,0,1274.0,confirmed_cases,cumulative,,0.85,1,organic,https://www.reuters.com/business/healthcare-pharmaceuticals/congo-says-number-confirmed-ebola-cases-1274-including-360-deaths-2026-06-29/,"confirmed Ebola cases in the country had reached 1,274",True,True,True,False,well_supported,,
bfg_q11,20260705_091506,categorical,pheic (world),44,15,1,15,"africacdc.org,cdc.gov,ecdc.europa.eu,empres-i.apps.fao.org,fao.org,gov.uk,healthmap.org,nextstrain.org,paho.org,promedmail.org,wahis.woah.org,who.int",who.int,True,0.2527,0.4706,0.4118,0.0,0.0,0,0,0,0,,,,,,0,none,,,False,False,False,False,under_supported,extraction,15 dashboard(s) survived filtering but produced 0 insight records (non-extractable tracker/index/JS page).
bfg_q12,20260705_091543,binary,mpox (world),45,7,0,7,"cdc.gov,ecdc.europa.eu,mpox-monthly.ecdc.europa.eu,ourworldindata.org,paho.org,who.int,worldhealthorg.shinyapps.io",who.int,True,0.2418,0.3824,0.0,0.0,,22,20,0,22,180545.0,confirmed_cases,cumulative,,0.85,1,dashboard,https://ourworldindata.org/mpox,"cumulative confirmed cases (World): 180,545",True,True,True,False,dashboard_only,search-recall,"7 organic looked on-topic by keyword overlap (e.g. nypost.com) but the LLM judge rates the pool 0% on-topic — generic news, not authoritative coverage. Organic-authority gap; dashboard rightly carries it."
