question_id;forecast_version;option;probability
q1;bioscancast@2025-02-17;70-100;0,933075858689
q1;bioscancast@2025-02-17;100-150;0,048265595551
q1;bioscancast@2025-02-17;150-200;0,013013367458
q1;bioscancast@2025-02-17;200+;0,005645178301
q1;bioscancast@2025-02-20;70-100;0,997874386081
q1;bioscancast@2025-02-20;100-150;0,001907599059
q1;bioscancast@2025-02-20;150-200;0,000160697486
q1;bioscancast@2025-02-20;200+;0,000057317373
q1;bioscancast@2025-02-24;70-100;0,999910113447
q1;bioscancast@2025-02-24;100-150;0,000089886553
q1;bioscancast@2025-02-24;150-200;0,000000000000
q1;bioscancast@2025-02-24;200+;0,000000000000
