question_id;forecast_version;option;probability
q8;bioscancast@2025-02-24;124,831-126,000;0,000000000000
q8;bioscancast@2025-02-24;126,001-128,500;0,000000000000
q8;bioscancast@2025-02-24;128,501-131,000;0,256054212881
q8;bioscancast@2025-02-24;131,001+;0,743945787119
q8;bioscancast_baseline@2025-02-24;124,831-126,000;0,250000000000
q8;bioscancast_baseline@2025-02-24;126,001-128,500;0,250000000000
q8;bioscancast_baseline@2025-02-24;128,501-131,000;0,250000000000
q8;bioscancast_baseline@2025-02-24;131,001+;0,250000000000
q8;bioscancast@2025-03-09;124,831-126,000;0,000000000000
q8;bioscancast@2025-03-09;126,001-128,500;0,000000000000
q8;bioscancast@2025-03-09;128,501-131,000;0,000000000000
q8;bioscancast@2025-03-09;131,001+;1,000000000000
q8;bioscancast_baseline@2025-03-09;124,831-126,000;0,250000000000
q8;bioscancast_baseline@2025-03-09;126,001-128,500;0,250000000000
q8;bioscancast_baseline@2025-03-09;128,501-131,000;0,250000000000
q8;bioscancast_baseline@2025-03-09;131,001+;0,250000000000
q8;bioscancast@2025-03-22;124,831-126,000;0,000000000000
q8;bioscancast@2025-03-22;126,001-128,500;0,000000000000
q8;bioscancast@2025-03-22;128,501-131,000;0,000000000000
q8;bioscancast@2025-03-22;131,001+;1,000000000000
q8;bioscancast_baseline@2025-03-22;124,831-126,000;0,250000000000
q8;bioscancast_baseline@2025-03-22;126,001-128,500;0,250000000000
q8;bioscancast_baseline@2025-03-22;128,501-131,000;0,250000000000
q8;bioscancast_baseline@2025-03-22;131,001+;0,250000000000
q8;bioscancast@2025-04-04;124,831-126,000;0,000000000000
q8;bioscancast@2025-04-04;126,001-128,500;0,000000000000
q8;bioscancast@2025-04-04;128,501-131,000;0,000000000000
q8;bioscancast@2025-04-04;131,001+;1,000000000000
q8;bioscancast_baseline@2025-04-04;124,831-126,000;0,250000000000
q8;bioscancast_baseline@2025-04-04;126,001-128,500;0,250000000000
q8;bioscancast_baseline@2025-04-04;128,501-131,000;0,250000000000
q8;bioscancast_baseline@2025-04-04;131,001+;0,250000000000
q8;bioscancast@2025-04-17;124,831-126,000;0,000000000000
q8;bioscancast@2025-04-17;126,001-128,500;0,000000000000
q8;bioscancast@2025-04-17;128,501-131,000;0,000000000000
q8;bioscancast@2025-04-17;131,001+;1,000000000000
q8;bioscancast_baseline@2025-04-17;124,831-126,000;0,250000000000
q8;bioscancast_baseline@2025-04-17;126,001-128,500;0,250000000000
q8;bioscancast_baseline@2025-04-17;128,501-131,000;0,250000000000
q8;bioscancast_baseline@2025-04-17;131,001+;0,250000000000
